,0,1,2,3,4,5,6,7,8,9
0,MVP,MVP,MVP,MVP,MVP,MVP,MVP,MVP,MVP,MVP
1,YEAR,PLAYER,POS,TEAM,FG%,PPG,RPG,APG,BLKPG,
2,2022,Nikola Jokic,C,Denver Nuggets,.583,27.1,13.8,7.9,0.9,
3,2021,Nikola Jokic,C,Denver Nuggets,.566,26.4,10.8,8.3,0.7,
4,2020,Giannis Antetokounmpo,F,Milwaukee Bucks,.553,29.5,13.6,5.6,1.0,
5,2019,Giannis Antetokounmpo,F,Milwaukee Bucks,.578,27.7,12.5,5.9,1.5,
6,2018,James Harden,G,Houston Rockets,.449,30.4,5.4,8.8,0.7,
7,2017,Russell Westbrook,G,Oklahoma City Thunder,.425,31.6,10.7,10.4,0.4,
8,2016,Stephen Curry,G,Golden State Warriors,.504,30.1,5.4,6.7,0.2,
9,2015,Stephen Curry,G,Golden State Warriors,.487,23.8,4.3,7.7,0.2,
10,2014,Kevin Durant,F,Oklahoma City Thunder,.503,32.0,7.4,5.5,0.7,
11,2013,LeBron James,F,Miami Heat,.565,26.8,8.0,7.3,0.9,
12,2012,LeBron James,SF,Miami Heat,.531,27.1,7.9,6.2,0.8,
13,2011,Derrick Rose,PG,Chicago Bulls,.445,25.0,4.1,7.7,0.6,
14,2010,LeBron James,SF,Cleveland Cavaliers,.503,29.7,7.3,8.6,1.0,
15,2009,LeBron James,SF,Cleveland Cavaliers,.489,28.4,7.6,7.2,1.1,
16,2008,Kobe Bryant,SF,Los Angeles Lakers,.459,28.3,6.3,5.4,0.5,
17,2007,Dirk Nowitzki,F,Dallas Mavericks,.502,24.6,8.9,3.4,0.8,
18,2006,Steve Nash,PG,Phoenix Suns,.512,18.8,4.2,10.5,0.2,
19,2005,Steve Nash,PG,Phoenix Suns,.502,15.5,3.3,11.5,0.1,
20,2004,Kevin Garnett,PF,Minnesota Timberwolves,.499,24.2,13.9,5.0,2.2,
21,2003,Tim Duncan,C,San Antonio Spurs,.513,23.3,12.9,3.9,2.9,
22,2002,Tim Duncan,C,San Antonio Spurs,.508,25.5,12.7,3.7,2.5,
23,2001,Allen Iverson,SG,Philadelphia 76ers,.420,31.1,3.8,4.6,0.3,
24,2000,Shaquille O'Neal,C,Los Angeles Lakers,.574,29.7,13.6,3.8,3.0,
25,1999,Karl Malone,PF,Utah Jazz,.493,23.8,9.4,4.1,0.6,
26,1998,Michael Jordan,G,Chicago Bulls,.465,28.7,5.8,3.5,0.5,
27,1997,Karl Malone,PF,Utah Jazz,.550,27.4,9.9,4.5,0.6,
28,1996,Michael Jordan,G,Chicago Bulls,.495,30.4,6.6,4.3,0.5,
29,1995,David Robinson,C,San Antonio Spurs,.530,27.6,10.8,2.9,3.2,
30,1994,Hakeem Olajuwon,C,Houston Rockets,.528,27.3,11.9,3.6,3.7,
31,1993,Charles Barkley,F,Phoenix Suns,.520,25.6,12.2,5.1,1.0,
32,1992,Michael Jordan,G,Chicago Bulls,.519,30.1,6.4,6.1,0.9,
33,1991,Michael Jordan,G,Chicago Bulls,.539,31.5,6.0,5.5,1.0,
34,1990,Magic Johnson,F,Los Angeles Lakers,.480,22.3,6.6,11.5,0.4,
35,1989,Magic Johnson,F,Los Angeles Lakers,.509,22.5,7.9,12.8,0.3,
36,1988,Michael Jordan,G,Chicago Bulls,.535,35.0,5.5,5.9,1.6,
37,1987,Magic Johnson,F,Los Angeles Lakers,.522,23.9,6.3,12.2,0.5,
38,1986,Larry Bird,,Boston Celtics,No stats available.,No stats available.,No stats available.,No stats available.,No stats available.,
39,1985,Larry Bird,,Boston Celtics,No stats available.,No stats available.,No stats available.,No stats available.,No stats available.,
40,1984,Larry Bird,,Boston Celtics,No stats available.,No stats available.,No stats available.,No stats available.,No stats available.,
41,1983,Moses Malone,C,Philadelphia 76ers,No stats available.,No stats available.,No stats available.,No stats available.,No stats available.,
42,1982,Moses Malone,C,Houston Rockets,No stats available.,No stats available.,No stats available.,No stats available.,No stats available.,
43,1981,Julius Erving,,Philadelphia 76ers,No stats available.,No stats available.,No stats available.,No stats available.,No stats available.,
44,1980,Kareem Abdul-Jabbar,,Los Angeles Lakers,No stats available.,No stats available.,No stats available.,No stats available.,No stats available.,
45,1979,Moses Malone,C,Houston Rockets,No stats available.,No stats available.,No stats available.,No stats available.,No stats available.,
46,1978,Bill Walton,,Portland Trail Blazers,No stats available.,No stats available.,No stats available.,No stats available.,No stats available.,
47,1977,Kareem Abdul-Jabbar,,Los Angeles Lakers,No stats available.,No stats available.,No stats available.,No stats available.,No stats available.,
48,1976,Kareem Abdul-Jabbar,,Los Angeles Lakers,No stats available.,No stats available.,No stats available.,No stats available.,No stats available.,
49,1975,Bob McAdoo,,Buffalo Braves,No stats available.,No stats available.,No stats available.,No stats available.,No stats available.,
50,1974,Kareem Abdul-Jabbar,,Milwaukee Bucks,No stats available.,No stats available.,No stats available.,No stats available.,No stats available.,
51,1973,David Cowens,,Boston Celtics,No stats available.,No stats available.,No stats available.,No stats available.,No stats available.,
52,1972,Kareem Abdul-Jabbar,,Milwaukee Bucks,No stats available.,No stats available.,No stats available.,No stats available.,No stats available.,
53,1971,Kareem Abdul-Jabbar,,Milwaukee Bucks,No stats available.,No stats available.,No stats available.,No stats available.,No stats available.,
54,1970,Willis Reed,,New York Knicks,No stats available.,No stats available.,No stats available.,No stats available.,No stats available.,
55,1969,Westley Unseld,,Baltimore Bullets,No stats available.,No stats available.,No stats available.,No stats available.,No stats available.,
56,1968,Wilt Chamberlain,,Philadelphia 76ers,No stats available.,No stats available.,No stats available.,No stats available.,No stats available.,
57,1967,Wilt Chamberlain,,Philadelphia 76ers,No stats available.,No stats available.,No stats available.,No stats available.,No stats available.,
58,1966,Wilt Chamberlain,,Philadelphia 76ers,No stats available.,No stats available.,No stats available.,No stats available.,No stats available.,
59,1965,Bill Russell,,Boston Celtics,No stats available.,No stats available.,No stats available.,No stats available.,No stats available.,
60,1964,Oscar Robertson,,Cincinnati Royals,No stats available.,No stats available.,No stats available.,No stats available.,No stats available.,
61,1963,Bill Russell,,Boston Celtics,No stats available.,No stats available.,No stats available.,No stats available.,No stats available.,
62,1962,Bill Russell,,Boston Celtics,No stats available.,No stats available.,No stats available.,No stats available.,No stats available.,
63,1961,Bill Russell,,Boston Celtics,No stats available.,No stats available.,No stats available.,No stats available.,No stats available.,
64,1960,Wilt Chamberlain,,Philadelphia Warriors,No stats available.,No stats available.,No stats available.,No stats available.,No stats available.,
65,1959,Bob Pettit,,St. Louis Hawks,No stats available.,No stats available.,No stats available.,No stats available.,No stats available.,
66,1958,Bill Russell,,Boston Celtics,No stats available.,No stats available.,No stats available.,No stats available.,No stats available.,
67,1957,Bob Cousy,,Boston Celtics,No stats available.,No stats available.,No stats available.,No stats available.,No stats available.,
68,1956,Bob Pettit,,St. Louis Hawks,No stats available.,No stats available.,No stats available.,No stats available.,No stats available.,
